event_id,run_id,created_at,coin,direction,score,entry_px,ret_1h,ret_4h,ret_24h,ret_72h,ret_7d,ret_15d,ret_30d,reason,direction_win_24h,hurdle_win_24h,hurdle_24h_pct,direction_win_72h,hurdle_win_72h,hurdle_72h_pct,direction_win_7d,hurdle_win_7d,hurdle_7d_pct,direction_win_15d,hurdle_win_15d,hurdle_15d_pct,direction_win_30d,hurdle_win_30d,hurdle_30d_pct
11,161,2026-07-01 16:35:25,HYPE,bearish,-5.586250000000001,64.8695,0.8339820716977883,4.058918289797212,,,,,,本轮合约主动变化-$2.31M；本轮钱包质量加权资金流-$7.55M；主滚动窗口取72h：-$18.65M，资金分-1.6；72h-$18.65M 质量=1.00 覆盖=67% 钱包=21 持续=69轮/3天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟；历史样本不足；BTC 4h偏强，空头降权；该币24h弱于BTC；同方向平均强平距离98.4%较安全；资金费率中性：-0.0005%；流动性可接受：24h成交额$481.92M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
10,157,2026-07-01 13:33:07,SOL,bearish,-5.0981250000000005,74.8995,-2.7970814224394003,-3.8625090955213324,,,,,,本轮合约主动变化-$5.27M；本轮钱包质量加权资金流-$3.62M；主滚动窗口取72h：-$16.84M，资金分-1.6；杠杆健康：低/中杠杆12% 均17.2x；72h-$16.84M 质量=1.00 覆盖=62% 钱包=16 持续=55轮/3天；长期资格未通过：钱包集中度过高、高杠杆占比过高；历史样本不足；该币24h强于BTC，空头谨慎；同方向平均强平距离285.1%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$320.22M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
9,138,2026-07-01 05:10:02,ZEC,bullish,5.563743936206826,410.005,-1.4512018146120143,-2.0536334922744883,,,,,,本轮合约主动变化$2.11M；本轮钱包质量加权资金流$5.64M；主滚动窗口取24h：$5.25M，资金分+1.2；24h$5.25M 质量=1.00 覆盖=100% 钱包=2 持续=28轮/2天；其他成熟窗口同向确认1组，确认分+0.2；历史样本不足；同方向平均强平距离50.5%较安全；资金费率中性：+0.0089%；流动性可接受：24h成交额$81.77M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
8,52,2026-06-29 18:31:26,MAX,bearish,-5.495,6.7205,0.5847779183096612,0.793095751804183,3.1619671155420033,,,,,本轮现货主动变化-$760.56M；本轮钱包质量加权资金流-$912.68M；短窗口取6h：-$912.68M，资金分-0.1；6h-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；Top1占比100%；现货主导100%且无合约低杠杆确认；中窗口取72h：-$912.68M，资金分-0.2；72h-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；参与钱包少：1个；Top1占比100%；长窗口取30d：-$912.68M，资金分-0.3；30d-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；参与钱包少：1个；Top1占比100%；历史样本不足；BTC 4h偏强，空头降权,1,1,1.0,,,2.0,,,4.0,,,6.0,,,8.0
6,50,2026-06-29 17:40:53,SOL,bearish,-7.797499999999999,75.6555,0.47980649126633157,-0.1586137161210888,2.9264230624343224,,,,,本轮合约主动变化-$27.03M；本轮钱包质量加权资金流-$12.43M；短窗口取6h：-$17.35M，资金分-0.6；杠杆健康：低/中杠杆13% 均17.0x；6h-$17.35M 质量=0.75 钱包=3 持续=3轮/1天；Top3占比100%；中窗口取24h：-$17.35M，资金分-1.2；杠杆健康：低/中杠杆13% 均17.0x；24h-$17.35M 质量=1.00 钱包=8 持续=3轮/1天；短中长分组同向(2组)，连续性加分-0.3；历史样本不足；BTC 4h偏强，空头降权；该币24h强于BTC，空头谨慎；价格靠近24h高位，空头加分；同方向平均强平距离276.6%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$535.09M,1,1,1.0,,,2.0,,,4.0,,,6.0,,,8.0
7,50,2026-06-29 17:40:53,BASED,bearish,-5.78,719.23,-0.40459936320787065,-0.40459936320787065,-2.1383980089818273,,,,,本轮现货主动变化-$4.38M；本轮钱包质量加权资金流-$4.17M；短窗口取6h：-$4.38M，资金分-0.3；6h-$4.38M 质量=0.40 钱包=2 持续=2轮/1天；现货主导100%且无合约低杠杆确认；中窗口取24h：-$4.38M，资金分-0.5；24h-$4.38M 质量=0.40 钱包=2 持续=2轮/1天；现货主导100%且无合约低杠杆确认；历史样本不足；BTC 4h偏强，空头降权,0,0,1.0,,,2.0,,,4.0,,,6.0,,,8.0
5,49,2026-06-29 17:20:45,SOL,bearish,-5.842499999999999,74.1405,-2.094671603239791,-1.9422582798875079,0.5610968364119433,,,,,本轮合约主动变化-$8.18M；本轮钱包质量加权资金流-$4.15M；短窗口取2h：-$4.92M，资金分-0.5；杠杆健康：低/中杠杆13% 均17.0x；2h-$4.92M 质量=1.00 钱包=0 持续=2轮/1天；历史样本不足；该币24h强于BTC，空头谨慎；同方向平均强平距离312.4%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$497.96M,1,0,1.0,,,2.0,,,4.0,,,6.0,,,8.0
4,48,2026-06-29 16:59:51,QONE,bearish,-13.9,283.27,0.0,0.0,-1.2602817100292982,,,,,本轮现货主动变化-$46.91M；本轮钱包质量加权资金流-$56.29M；2h滚动净流入-$148.20M；6h滚动净流入-$148.20M；24h滚动净流入-$148.20M；72h滚动净流入-$148.20M；15d滚动净流入-$148.20M；30d滚动净流入-$148.20M；多窗口同向累积(6个窗口) -1.5；历史样本不足,0,0,1.0,,,2.0,,,4.0,,,6.0,,,8.0
2,47,2026-06-29 16:35:01,QONE,bearish,-13.9,283.27,0.0,0.0,-1.2602817100292982,,,,,本轮现货主动变化-$76.59M；本轮钱包质量加权资金流-$91.91M；2h滚动净流入-$91.91M；6h滚动净流入-$91.91M；24h滚动净流入-$91.91M；72h滚动净流入-$91.91M；15d滚动净流入-$91.91M；30d滚动净流入-$91.91M；多窗口同向累积(6个窗口) -1.5；历史样本不足,0,0,1.0,,,2.0,,,4.0,,,6.0,,,8.0
3,47,2026-06-29 16:35:01,UPUMP,bearish,-6.800000000000001,0.10951,0.0,0.0,0.0,,,,,本轮现货主动变化-$3.26M；本轮钱包质量加权资金流-$3.02M；2h滚动净流入-$3.02M；6h滚动净流入-$3.02M；24h滚动净流入-$3.02M；多窗口同向累积(3个窗口) -0.4；历史样本不足,0,0,1.0,,,2.0,,,4.0,,,6.0,,,8.0
1,44,2026-06-29 15:25:10,ENA,bearish,-5.3,0.080962,1.1499221857167574,2.6358044514710737,13.09132679528669,,,,,合约主动变化-$2.94M；钱包质量加权资金流-$2.37M；历史样本不足；该币24h强于BTC，空头谨慎；同方向平均强平距离1542.8%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$27.16M,1,1,1.0,,,2.0,,,4.0,,,6.0,,,8.0
